exchange	stock_symbol	date	dividends
NYSE	AIT	11/12/2009	0.15
NYSE	AIT	8/12/2009	0.15
NYSE	AIT	5/13/2009	0.15
NYSE	AIT	2/11/2009	0.15
NYSE	AIT	11/12/2008	0.15
NYSE	AIT	8/13/2008	0.15
NYSE	AIT	5/13/2008	0.15
NYSE	AIT	2/13/2008	0.15
NYSE	AIT	11/13/2007	0.15
NYSE	AIT	8/13/2007	0.15
NYSE	AIT	5/11/2007	0.12
NYSE	AIT	2/13/2007	0.12
NYSE	AIT	11/13/2006	0.12
NYSE	AIT	8/11/2006	0.12
NYSE	AIT	5/11/2006	0.12
NYSE	AIT	2/13/2006	0.1
NYSE	AIT	11/10/2005	0.1
NYSE	AIT	8/17/2005	0.08
NYSE	AIT	5/12/2005	0.08
NYSE	AIT	2/11/2005	0.08
NYSE	AIT	11/10/2004	0.06222
NYSE	AIT	8/11/2004	0.06222
NYSE	AIT	5/12/2004	0.05333
NYSE	AIT	2/11/2004	0.05333
NYSE	AIT	11/12/2003	0.05333
NYSE	AIT	8/13/2003	0.05333
NYSE	AIT	5/13/2003	0.05333
NYSE	AIT	1/29/2003	0.05333
NYSE	AIT	11/13/2002	0.05333
NYSE	AIT	8/13/2002	0.05333
NYSE	AIT	5/13/2002	0.05333
NYSE	AIT	2/12/2002	0.05333
NYSE	AIT	11/13/2001	0.05333
NYSE	AIT	8/13/2001	0.05333
NYSE	AIT	5/11/2001	0.05333
NYSE	AIT	2/12/2001	0.05333
NYSE	AIT	11/13/2000	0.05333
NYSE	AIT	8/11/2000	0.05333
NYSE	AIT	5/11/2000	0.05333
NYSE	AIT	2/10/2000	0.05333
NYSE	AIT	11/10/1999	0.05333
NYSE	AIT	8/12/1999	0.05333
NYSE	AIT	5/12/1999	0.05333
NYSE	AIT	2/10/1999	0.05333
NYSE	AIT	11/12/1998	0.05333
NYSE	AIT	8/12/1998	0.05333
NYSE	AIT	5/13/1998	0.05333
NYSE	AIT	2/11/1998	0.05333
NYSE	AIT	11/12/1997	0.05333
NYSE	AIT	8/13/1997	0.04741
NYSE	AIT	5/13/1997	0.04741
NYSE	AIT	2/12/1997	0.04741
NYSE	AIT	11/13/1996	0.04741
NYSE	AIT	8/13/1996	0.04148
NYSE	AIT	5/13/1996	0.04148
NYSE	AIT	2/13/1996	0.04148
NYSE	AIT	11/13/1995	0.04148
NYSE	AIT	8/11/1995	0.03555
NYSE	AIT	5/9/1995	0.03555
NYSE	AIT	2/9/1995	0.03555
NYSE	AIT	11/8/1994	0.03555
NYSE	AIT	8/9/1994	0.03161
NYSE	AIT	5/10/1994	0.03161
NYSE	AIT	2/9/1994	0.03161
