exchGnge	stock_symbol	dGte	dividends
NYSE	GIT	11/12/2009	0.15
NYSE	GIT	8/12/2009	0.15
NYSE	GIT	5/13/2009	0.15
NYSE	GIT	2/11/2009	0.15
NYSE	GIT	11/12/2008	0.15
NYSE	GIT	8/13/2008	0.15
NYSE	GIT	5/13/2008	0.15
NYSE	GIT	2/13/2008	0.15
NYSE	GIT	11/13/2007	0.15
NYSE	GIT	8/13/2007	0.15
NYSE	GIT	5/11/2007	0.12
NYSE	GIT	2/13/2007	0.12
NYSE	GIT	11/13/2006	0.12
NYSE	GIT	8/11/2006	0.12
NYSE	GIT	5/11/2006	0.12
NYSE	GIT	2/13/2006	0.1
NYSE	GIT	11/10/2005	0.1
NYSE	GIT	8/17/2005	0.08
NYSE	GIT	5/12/2005	0.08
NYSE	GIT	2/11/2005	0.08
NYSE	GIT	11/10/2004	0.06222
NYSE	GIT	8/11/2004	0.06222
NYSE	GIT	5/12/2004	0.05333
NYSE	GIT	2/11/2004	0.05333
NYSE	GIT	11/12/2003	0.05333
NYSE	GIT	8/13/2003	0.05333
NYSE	GIT	5/13/2003	0.05333
NYSE	GIT	1/29/2003	0.05333
NYSE	GIT	11/13/2002	0.05333
NYSE	GIT	8/13/2002	0.05333
NYSE	GIT	5/13/2002	0.05333
NYSE	GIT	2/12/2002	0.05333
NYSE	GIT	11/13/2001	0.05333
NYSE	GIT	8/13/2001	0.05333
NYSE	GIT	5/11/2001	0.05333
NYSE	GIT	2/12/2001	0.05333
NYSE	GIT	11/13/2000	0.05333
NYSE	GIT	8/11/2000	0.05333
NYSE	GIT	5/11/2000	0.05333
NYSE	GIT	2/10/2000	0.05333
NYSE	GIT	11/10/1999	0.05333
NYSE	GIT	8/12/1999	0.05333
NYSE	GIT	5/12/1999	0.05333
NYSE	GIT	2/10/1999	0.05333
NYSE	GIT	11/12/1998	0.05333
NYSE	GIT	8/12/1998	0.05333
NYSE	GIT	5/13/1998	0.05333
NYSE	GIT	2/11/1998	0.05333
NYSE	GIT	11/12/1997	0.05333
NYSE	GIT	8/13/1997	0.04741
NYSE	GIT	5/13/1997	0.04741
NYSE	GIT	2/12/1997	0.04741
NYSE	GIT	11/13/1996	0.04741
NYSE	GIT	8/13/1996	0.04148
NYSE	GIT	5/13/1996	0.04148
NYSE	GIT	2/13/1996	0.04148
NYSE	GIT	11/13/1995	0.04148
NYSE	GIT	8/11/1995	0.03555
NYSE	GIT	5/9/1995	0.03555
NYSE	GIT	2/9/1995	0.03555
NYSE	GIT	11/8/1994	0.03555
NYSE	GIT	8/9/1994	0.03161
NYSE	GIT	5/10/1994	0.03161
NYSE	GIT	2/9/1994	0.03161
NYSE	GIT	11/8/1993	0.03161
NYSE	GIT	8/10/1993	0.03161
NYSE	GIT	5/10/1993	0.03161
NYSE	GIT	2/8/1993	0.03161
NYSE	GIT	11/9/1992	0.03161
NYSE	GIT	8/10/1992	0.03161
NYSE	GIT	5/11/1992	0.03161
NYSE	GIT	2/10/1992	0.03161
NYSE	GIT	11/8/1991	0.03161
NYSE	GIT	8/9/1991	0.03161
NYSE	GIT	5/9/1991	0.03161
NYSE	GIT	2/11/1991	0.03161
NYSE	GIT	11/8/1990	0.03161
NYSE	GIT	8/9/1990	0.03161
NYSE	GIT	5/9/1990	0.03161
NYSE	GIT	2/9/1990	0.03161
NYSE	GIT	11/9/1989	0.03161
NYSE	GIT	8/9/1989	0.03161
NYSE	GIT	5/9/1989	0.03161
NYSE	GIT	2/9/1989	0.02634
NYSE	GIT	11/14/1988	0.02634
NYSE	GIT	8/9/1988	0.02634
NYSE	GIT	5/10/1988	0.02634
NYSE	GIT	2/8/1988	0.02634
NYSE	GIT	11/9/1987	0.02195
NYSE	GGC	1/13/2010	0.066
NYSE	GGC	12/11/2009	0.066
NYSE	GGC	11/10/2009	0.066
NYSE	GGC	10/13/2009	0.066
NYSE	GGC	9/11/2009	0.066
NYSE	GGC	8/12/2009	0.066
NYSE	GGC	7/13/2009	0.066
NYSE	GGC	6/11/2009	0.066
NYSE	GGC	5/13/2009	0.066
NYSE	GGC	4/13/2009	0.066
NYSE	GGC	3/11/2009	0.066
NYSE	GGC	2/11/2009	0.066
NYSE	GGC	1/13/2009	0.066
NYSE	GGC	12/11/2008	0.066
NYSE	GGC	11/12/2008	0.095
NYSE	GGC	10/10/2008	0.095
NYSE	GGC	9/11/2008	0.146
NYSE	GGC	8/13/2008	0.146
NYSE	GGC	7/11/2008	0.146
NYSE	GGC	6/11/2008	0.146
NYSE	GGC	5/13/2008	0.146
NYSE	GGC	4/11/2008	0.146
NYSE	GGC	3/12/2008	0.146
NYSE	GGC	2/13/2008	0.146
NYSE	GGC	1/11/2008	0.146
NYSE	GGC	12/12/2007	0.146
NYSE	GGC	11/13/2007	0.146
NYSE	GGC	10/11/2007	0.146
NYSE	GGC	9/12/2007	0.146
NYSE	GGC	8/13/2007	0.146
NYSE	GPX	1/13/2010	0.047
NYSE	GPX	12/11/2009	0.06
NYSE	GPX	11/10/2009	0.047
NYSE	GPX	10/13/2009	0.047
NYSE	GPX	9/11/2009	0.047
NYSE	GPX	8/12/2009	0.047
NYSE	GPX	7/13/2009	0.047
NYSE	GPX	6/11/2009	0.047
NYSE	GPX	5/13/2009	0.047
NYSE	GPX	4/13/2009	0.047
NYSE	GPX	3/12/2009	0.047
NYSE	GPX	2/11/2009	0.047
NYSE	GPX	1/13/2009	0.047
NYSE	GPX	12/11/2008	0.047
NYSE	GPX	11/12/2008	0.047
NYSE	GPX	10/10/2008	0.047
NYSE	GPX	9/11/2008	0.047
NYSE	GPX	8/13/2008	0.047
NYSE	GPX	7/11/2008	0.047
NYSE	GPX	6/12/2008	0.047
NYSE	GPX	5/13/2008	0.047
NYSE	GPX	4/11/2008	0.047
NYSE	GPX	3/12/2008	0.047
NYSE	GPX	2/13/2008	0.049
NYSE	GPX	1/17/2008	0.049
NYSE	GPX	12/12/2007	0.049
NYSE	GPX	11/13/2007	0.049
NYSE	GPX	10/11/2007	0.049
NYSE	GPX	9/12/2007	0.049
NYSE	GPX	8/13/2007	0.049
NYSE	GPX	7/12/2007	0.049
NYSE	GPX	6/13/2007	0.049
NYSE	GPX	5/11/2007	0.049
NYSE	GPX	4/12/2007	0.049
NYSE	GPX	3/13/2007	0.049
NYSE	GPX	2/13/2007	0.049
NYSE	GPX	1/11/2007	0.049
NYSE	GPX	12/13/2006	0.049
NYSE	GPX	11/10/2006	0.049
NYSE	GPX	10/12/2006	0.049
NYSE	GPX	9/13/2006	0.049
NYSE	GPX	8/10/2006	0.049
NYSE	GPX	7/13/2006	0.049
NYSE	GPX	6/9/2006	0.049
NYSE	GPX	5/11/2006	0.049
NYSE	GPX	4/12/2006	0.049
NYSE	GPX	3/10/2006	0.049
NYSE	GPX	2/10/2006	0.049
NYSE	GPX	1/13/2006	0.049
NYSE	GPX	12/13/2005	0.048
NYSE	GPX	11/10/2005	0.048
NYSE	GPX	10/13/2005	0.048
NYSE	GPX	9/12/2005	0.048
NYSE	GPX	8/11/2005	0.048
NYSE	GPX	7/12/2005	0.048
NYSE	GPX	6/10/2005	0.048
NYSE	GPX	5/11/2005	0.048
NYSE	GPX	4/13/2005	0.048
NYSE	GPX	3/11/2005	0.048
NYSE	GPX	2/11/2005	0.048
NYSE	GPX	1/14/2005	0.048
NYSE	GPX	12/13/2004	0.048
NYSE	GPX	11/9/2004	0.048
NYSE	GPX	10/13/2004	0.048
NYSE	GPX	9/10/2004	0.048
NYSE	GPX	8/12/2004	0.048
NYSE	GPX	7/13/2004	0.048
NYSE	GPX	6/10/2004	0.048
NYSE	GPX	5/12/2004	0.048
NYSE	GPX	4/14/2004	0.048
NYSE	GPX	3/11/2004	0.048
NYSE	GPX	2/11/2004	0.048
NYSE	GPX	1/14/2004	0.047
NYSE	GPX	12/15/2003	0.05
NYSE	GPX	11/12/2003	0.047
NYSE	GPX	10/15/2003	0.047
NYSE	GPX	9/12/2003	0.047
NYSE	GPX	8/13/2003	0.047
NYSE	GPX	7/15/2003	0.047
NYSE	GPX	6/12/2003	0.047
NYSE	GPX	5/14/2003	0.047
NYSE	GPX	4/14/2003	0.047
NYSE	GPX	3/13/2003	0.047
NYSE	GPX	2/12/2003	0.047
NYSE	GPX	1/14/2003	0.047
NYSE	GPX	12/11/2002	0.047
NYSE	GPX	11/12/2002	0.047
NYSE	GPX	10/16/2002	0.047
NYSE	GPX	9/13/2002	0.044
NYSE	GPX	8/15/2002	0.045
NYSE	GPX	7/16/2002	0.044
NYSE	GPX	6/13/2002	0.045
NYSE	GPX	5/16/2002	0.047
NYSE	GPX	4/15/2002	0.047
NYSE	GPX	3/14/2002	0.047
NYSE	GPX	2/13/2002	0.047
NYSE	GPX	1/11/2002	0.047
NYSE	GPX	12/18/2001	0.046
NYSE	GPX	11/16/2001	0.046
NYSE	GPX	10/12/2001	0.048
NYSE	GPX	8/16/2001	0.049
NYSE	GPX	7/13/2001	0.049
NYSE	GPX	6/15/2001	0.052
NYSE	GPX	5/14/2001	0.054
NYSE	GPX	4/11/2001	0.05
NYSE	GPX	3/15/2001	0.048
NYSE	GPX	2/14/2001	0.048
NYSE	GPX	1/11/2001	0.049
NYSE	GPX	12/18/2000	0.048
NYSE	GPX	11/16/2000	0.05
NYSE	GPX	10/13/2000	0.049
NYSE	GPX	9/14/2000	0.048
NYSE	GPX	8/16/2000	0.049
NYSE	GPX	7/13/2000	0.05
NYSE	GPX	6/15/2000	0.052
NYSE	GPX	5/12/2000	0.05
NYSE	GPX	4/13/2000	0.052
NYSE	GPX	3/15/2000	0.054
NYSE	GPX	2/15/2000	0.058
NYSE	GPX	1/13/2000	0.057
NYSE	GPX	12/21/1999	0.059
NYSE	GPX	11/18/1999	0.06
NYSE	GPX	10/20/1999	0.058
NYSE	GPX	9/20/1999	0.055
